,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
APD,17.029512,3.9220312,0.22396,0.048249997,80.976,0.869,65468010496,0.03426447077903094,0.24364058853181622,30.8559914677611,-0.45402837863175005,312.24319946289063,294.41616928100586,1153.2198751814726,0.03426447077903094
ABNB,31.274275,9.543032,0.31948,0.07671,27.271,1.108,80059670528,-0.017838058153228142,0.36843577358263463,33.485584858599566,-0.030244906773244207,134.96840103149415,134.19782539367677,13895.964381314354,-0.017838058153228142
AKAM,25.073395,2.5214503,0.10657,0.03924,95.003,0.676,12324572160,-0.17614549206798225,0.3797135486368376,48.1693826685181,0.6172256848338091,90.05620056152344,95.00840026855468,7032.443164080002,-0.17614549206798225
ARE,53.555557,0.927967,0.02269,0.0141900005,56.93,1.193,16686068736,-0.18531955147426105,0.2559882976119623,35.130963478816966,-0.42322141238797073,98.24579971313477,108.25848777770996,3769.6368697924336,-0.18531955147426105
ALGN,30.2758,3.262078,0.112629995,0.06866,3.097,1.688,12522631168,-0.3270714265799711,0.3718003227462821,45.10657865262819,1.8620637578762924,196.97,222.5770999145508,1614.1170135279954,-0.3270714265799711
ALLE,19.052786,7.468674,0.42391,0.11255,143.313,1.116,11212574720,-0.07450136687890585,0.212776228384897,57.01541318339365,0.4592664361630847,129.5265998840332,133.0518278503418,3056.133542702297,-0.07450136687890585
LNT,23.122677,2.2795575,0.10014,0.02645,151.585,0.536,15966242816,0.05907811752840164,0.18027782358759928,40.43210894029054,-0.2067293544153096,61.25132865905762,57.900656909942626,9197.942009365388,0.05907811752840164
ALL,12.207059,2.8287125,0.23586,0.03618,38.943,0.464,54998196224,0.09677846254590738,0.234989767852953,61.27361986668095,0.3590272240307,193.75343963623047,184.49242309570312,1769.0969180879074,0.09677846254590738
GOOGL,21.159403,6.3823156,0.32908002,0.1674,8.655,1.025,2083742285824,0.04102111711539225,0.28809862674486125,46.188593811621956,1.032431836607544,181.53449981689454,174.7777321624756,78326.95375880247,0.04102111711539225
GOOG,21.419155,6.4687104,0.32908002,0.1674,8.655,1.025,2083982147584,0.048358832569850296,0.28428135969819646,46.692662850277785,1.056419442505427,183.3643634033203,176.36403053283692,41417.42478328152,0.048358832569850296
AMZN,37.18445,7.6170545,0.24290001,0.07438,54.342,1.192,2179205038080,0.07322546102486505,0.2822467944172269,47.05502020843477,1.559452818440314,217.98779998779298,200.00965026855468,101866.3449039816,0.07322546102486505
AMCR,17.263636,3.6240458,0.20721,0.05138,197.441,0.811,13723503616,-0.10690326547802131,0.22827215922056604,34.15979785273704,-0.06716097774210932,9.845049324035644,10.072841625213623,1159767.8918088365,-0.10690326547802131
AEE,22.0362,2.1700866,0.100080006,0.026630001,153.508,0.493,26288842752,0.1542571461766129,0.17997339761290784,47.35564622400137,-0.2888839553944319,96.45939605712891,85.67099220275878,4620.184732547819,0.1542571461766129
AEP,18.362007,2.026503,0.113859996,0.02861,170.451,0.492,54682083328,0.022286836015126266,0.18796281020892647,47.2949396150864,-0.4899226246947952,101.6942155456543,96.06246448516846,69601.34748899021,0.022286836015126266
AXP,19.896427,6.461228,0.34735,0.038039997,183.33,1.212,195294183424,0.04068730887294714,0.25510722953139786,45.801634250348066,2.314389249214832,297.00019989013674,272.421361618042,3247.9699861714994,0.04068730887294714
AIG,20.679361,1.1998204,0.057540003,0.00754,23.008,1.0,49937870848,0.15291135938545253,0.21527009481416795,69.64772876296867,0.02406167495349898,77.51008514404298,74.73860717773438,14692.686824077033,0.15291135938545253
AMT,30.421242,29.09273,0.31768,0.04532,455.544,0.861,98406711296,-0.08989042517175982,0.26327398607663666,52.873556590586595,-0.4762033018115668,196.80890014648438,205.36783096313476,6112.424310527647,-0.08989042517175982
AWK,25.807053,2.6242313,0.10443,0.03457,136.702,0.681,27117129728,-0.04392685562590304,0.22186724656608395,52.16070052380619,-0.9487427133981812,131.56367736816406,134.25437240600587,6510.416680543279,-0.04392685562590304
AMP,15.440055,9.380932,0.68314004,0.02264,70.39,1.326,48863703040,0.11349498629718946,0.24171827878430907,50.449043988151246,3.28270960085859,525.8507470703125,489.4927479553223,226.92432782157678,0.11349498629718946
AME,30.186632,4.2843494,0.1497,0.07501,24.075,1.147,41374920704,0.05137547847368329,0.22500834829828933,40.69564924738963,-0.046050676946850944,182.53680572509765,175.77167358398438,2398.5688081389017,0.05137547847368329
AMGN,40.406624,27.870455,0.67553,0.064,1035.886,0.524,163885137920,-0.0811726280174987,0.2619482342958043,37.86406328701372,-2.1274375368195813,297.32207092285154,302.54113510131833,4187.2388938005915,-0.0811726280174987
APH,36.026043,8.542669,0.26709998,0.10873,73.865,1.258,83770400768,0.05448891555214286,0.3306686568705025,62.9403094685285,0.9670947494812611,67.87463401794433,67.36037441253661,30645.381756735143,0.05448891555214286
ADI,68.47436,3.021355,0.04429,0.02616,21.725,1.072,105960308736,-0.04983672400469641,0.3442988704890015,36.3227861234884,-0.6264639360188835,216.37243530273437,220.39066612243653,6744.926063081708,-0.04983672400469641
ANSS,49.76336,4.6878376,0.10032,0.058369998,14.222,1.109,28570105856,0.017798632964968863,0.21142602646808487,46.69318807220557,1.0807613360240245,336.365,329.1849510192871,418.61633652381437,0.017798632964968863
AON,31.6152,13.945586,0.9564,0.06616,278.258,0.923,85361434624,0.14087669882632192,0.19502256294100528,38.45553846910712,-1.5655563179055765,386.13020080566406,352.465823059082,818.0874971601409,0.14087669882632192
APA,9.226872,1.449481,0.22242,0.07467,100.865,3.27,7625320448,-0.1471412035383054,0.3760630595246204,79.29356007805966,0.2819123579668156,21.821491241455078,24.56148115158081,88905.08604114008,-0.1471412035383054
APO,20.276262,5.303301,0.22670001,0.01844,103.066,1.647,84787593216,0.20076965333054564,0.3518006446865859,57.82352942911421,2.50175777102534,153.4250178527832,139.65829486846923,5449.890664423886,0.20076965333054564
AAPL,35.574722,50.42023,1.3652,0.22518998,145.0,1.178,3361420345344,-0.0172765611488499,0.2456069806234562,38.6006658377587,0.0979507217301725,231.12142974853515,228.22630752563475,84641.83876683698,-0.0172765611488499
